Tara,ChEdu,PIB,PersNet ,AngStudSup,SV,PopServSanBaz ,Pop, RSinucid,RS,PopUrb
Austria,22573.56749,50114.40111,87.75220479,76.69999695,81.79268293,99.97271057,8879920,14.6,4.49,5196085
Belgia,32536.31661,46591.49161,90.27542981,74.81999969,81.74634146,99.48615574,11488980,18.3,5.36,11263911
Bulgaria,2703.103497,9879.268533,67.94698094,75.72000122,74.91463415,86.02459214,6975761,9.7,4.23,5256027
Croatia,2278.75019,15311.7669,79.07978368,71.87999725,78.42439024,96.5558337,4065253,16.4,6.62,2327032
Cipru,1318.10599,28288.46158,86.06362996,82.77999878,80.982,99.3958161,1198574,3.6,7.07,800707
Cehia,8769.100443,23660.14881,80.86694441,76.23999786,79.12926829,99.13371501,10671870,12.2,2.01,7888753
Danemarca,26247.22891,59775.7351,98.04643475,76.62999725,81.20243902,99.59722892,5814422,10.7,5.02,5116342
Estonia,1425.606919,23397.12001,90.2289282,82.12000275,78.49756098,99.14237975,1326898,14.9,4.45,916236
Finlanda,15688.57315,48678.31413,89.60738511,73.73999786,81.78536585,99.4479277,5521606,15.3,6.69,4717991
Franta,136488.2243,40578.64429,83.33974409,76.63999939,82.57804878,98.64841485,67248926,13.8,8.41,54275936
Germania,177331.6275,46794.89929,88.13451691,74.06999969,80.94146341,99.22538453,83092962,12.3,3.14,64294010
Grecia,6312.995,19133.75776,75.67120669,76.05000305,81.93902439,98.99026295,10721582,5.1,17.31,8511650
Ungaria,6961.488052,16735.65978,80.37169361,72.91000366,76.02195122,97.98613393,9771141,16.6,3.42,7000436
Irlanda,12913.17438,80886.61574,87.00005524,81.04000092,82.30243902,91.34960826,4934340,9.6,4.95,3128618
Italia,79640.51555,33641.63375,76.1,74.48999786,83.19756098,99.88521813,59729081,6.7,9.95,42249963
Letonia,1314.935552,17926.84159,86.13545644,85.61000061,75.23902439,92.41312875,1913822,20.1,6.31,1305648
Lituania,1972.253536,19575.76848,81.58186838,83.12999725,76.13414634,93.91542258,2794137,26.1,6.26,1895962
Luxemburg,2294.266082,113218.7133,97.12063569,79.68000031,82.44634146,97.59426352,620001,11.3,5.59,565584
Malta,667.731677,30186.19596,85.77856081,84.41000366,82.6,99.96449445,504062,6.1,3.62,477236
Olanda,41664.86482,52476.27325,93.2885906,80.37000275,82.01219512,97.6943826,17344874,11.8,3.38,15935776
Polonia,25438.70052,15732.20313,80.43590724,80.25,77.85609756,100,37965475,11.3,3.28,22793332
Portugalia,11536.24257,23330.81729,75.34637155,83.66000366,80.68292683,99.60572242,10286263,11.5,6.46,6764658
Romania,6926.7343,12899.34611,73.65747575,82.47000122,75.45853659,86.2498554,19371648,9.7,3.91,10476962
Slovenia,2417.890533,25942.95477,83.1083578,80.23999786,81.2804878,98.09039395,2088385,19.8,4.45,1144894
Slovacia,3916.587337,19303.54566,82.8536605,74.72000122,77.47073171,97.53184793,5454147,12.1,5.75,2930459
Spania,55693.82968,29555.3157,90.71866533,79.69000244,83.48536585,99.90365719,47133521,7.7,14.1,37973121
Suedia,38807.4094,51939.42974,94.49344341,83.94000244,82.95853659,99.28733736,10278887,14.7,6.83,9015406
