unit,age,sex,geo,time,value
Number,Total,Total,Austria,2019,8858775
Number,Total,Total,Belgium,2019,11455519
Number,Total,Total,Bulgaria,2019,7000039
Number,Total,Total,Cyprus,2019,875899
Number,Total,Total,Czechia,2019,10649800
Number,Total,Total,Germany (until 1990 former territory of the FRG),2019,83019213
Number,Total,Total,Denmark,2019,5806081
Number,Total,Total,Estonia,2019,1324820
Number,Total,Total,Greece,2019,10724599
Number,Total,Total,Spain,2019,46937060
Number,Total,Total,Finland,2019,5517919
Number,Total,Total,France,2019,67177636
Number,Total,Total,Croatia,2019,4076246
Number,Total,Total,Hungary,2019,9772756
Number,Total,Total,Ireland,2019,4904240
Number,Total,Total,Italy,2019,59816673
Number,Total,Total,Lithuania,2019,2794184
Number,Total,Total,Luxembourg,2019,613894
Number,Total,Total,Latvia,2019,1919968
Number,Total,Total,Malta,2019,493559
Number,Total,Total,Netherlands,2019,17282163
Number,Total,Total,Poland,2019,37972812
Number,Total,Total,Portugal,2019,10276617
Number,Total,Total,Romania,2019,19414458
Number,Total,Total,Sweden,2019,10230185
Number,Total,Total,Slovenia,2019,2080908
Number,Total,Total,Slovakia,2019,5450421
