,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Austria,0.009755133083213869,0.5398614612237835,0.08781783047561004,0.23839072132394612,0.03745650324154402,0.01524802534393269,0.06814269120196856,0.00014013577764104352,0.000458572681945227,0.0027289256464150414
Belgia,0.0562771057624103,0.21883699104716023,0.24274424339111625,0.397949673118066,0.0007065881265544999,0.045182933064345565,0.013712907415202315,0.02187347986816402,0.0022369500144764397,0.00047912819250426665
Bulgaria,0.33678306709025574,0.4644114745691385,0.004177595411558685,0.02566264507358341,0.15709325250709663,0.007566029476384577,8.540424806504813e-05,0.003448945701945077,0.0005414321805129619,0.00023015374145914967
Croatia,0.21462540990662662,0.16616577963904178,8.507248511191636e-05,0.5425871106765404,0.04254396307966185,0.023312571005613344,0.0005940140801808129,0.009684480792182282,0.0001836914850157147,0.0002179068500251918
Cipru,0.03576923543613034,0.14090296149384046,0.5115840501716143,0.07323605295068891,0.0008329354545840539,0.19367307268630385,0.03357635993219136,0.00057900242156389,0.009846197487365425,1.319657174435286e-07
Cehia,0.16107017164957402,0.04494656864559706,0.049783480418590285,0.1642230796967714,0.07440464506490632,0.4829315599023772,0.016223593479616587,0.00111481217581196,0.003356902588487677,0.0019451863782674317
Danemarca,0.03993194793232795,0.6815737505581665,0.02844093769096535,0.024822243863868856,0.08092055012701983,0.0031843384465108874,0.13491435769349827,0.004227153768874152,0.00158755987020529,0.000397160048562731
Estonia,0.4146780266106763,0.15259127719531115,0.036529117663912,0.0012515593270003226,0.22407310439045006,0.0887739039924594,0.08182328416056732,3.619765114771685e-05,0.00024329136836820717,2.376401075960927e-07
Finlanda,0.011208067958214815,0.3221731786585314,0.00907227708003488,0.5249142182143967,0.06624123311852335,0.053374487737291275,0.0006346746146004193,0.010718324775520996,0.001424288729660955,0.00023924911322524117
Franta,0.8024391896936776,0.12169571600103182,0.0271523303316356,0.007713532578232287,0.0135641697641976,0.018694580350052527,0.006620024715762961,0.00022515856464729985,0.0017220381265118324,0.00017325987425054014
Germania,0.7073018165270037,0.10504069022349785,0.16467490380708114,0.010020229079326815,0.0025323799861110617,0.004425279739505422,0.0025704576824636585,7.561868770703297e-06,0.003398734278413676,2.794680782589109e-05
Grecia,0.018674106004288725,0.02397299078374517,0.8297114227938321,0.055715633391041776,0.0010118099829041982,0.06443568557230674,0.0003908356504602817,0.0011994394445100007,0.004877391422043767,1.0684954866894004e-05
Ungaria,0.22808917397582876,0.20977665647814134,0.11783847193805808,0.36145482411978747,0.0270060840204536,0.02304598884575384,0.01656153338075425,0.015703427461432776,1.1503662316938014e-07,0.0005237247431667568
Irlanda,0.02092096393580062,0.27138415026045076,0.00012012577697694584,0.31383481922910295,0.2668354888276892,0.08892543434165884,0.03638390237686398,0.0009230673161652603,0.0005763539603461399,9.569397494542727e-05
Italia,0.6919916444589191,0.1719163502276752,0.09755703934128807,0.0017401799481317215,0.007766034903205973,0.00014709995210517422,0.021274553694263756,0.003978843835943682,0.003403253635370413,0.00022500000309683057
Letonia,0.5503783364835784,0.01679762230208328,0.057448002580324224,0.07490515648622163,0.19484259964485495,0.06782037231942356,0.03531691022329145,0.0014092974168017258,0.0010786543464130168,3.0481970077334396e-06
Lituania,0.46179955449820265,0.03395553930575833,0.13590165440630886,0.0004059073116651305,0.23183936877272288,0.12360079548660319,0.007404540517554257,0.004994653352198076,9.27768136463076e-05,5.209535340304258e-06
Luxemburg,0.0053690774532486624,0.7363350280559415,0.0109061776546875,0.027287630394654743,0.11926732326121006,0.05175954257149101,1.1295292677091899e-06,0.04883777352232004,0.00011131959283523297,0.00012499796434352806
Malta,0.046535887702239744,0.2603643343764792,0.15285110431311846,0.11139170726414177,0.009406971652629402,0.3875716684949202,0.015808309796554818,0.015778925711008772,0.00018775906020764536,0.00010333162869998793
Olanda,0.1408165032383343,0.4664519362598846,0.16601973758078603,0.1326113493090751,0.008612583426404195,0.03718531922479125,0.005330516976267065,0.03823792043736387,0.0031136941176650476,0.0016204394294285396
Polonia,0.006758145396896861,0.32267318657883526,0.02613335177310856,0.0101621291212915,0.07065446585839107,0.43069072134421527,0.007010636551783905,0.09403046527116106,0.030980416241044993,0.0009064818632715267
Portugalia,0.10225548108447605,0.010255047236429225,0.24484332206804085,0.037391562781603147,0.19628176651496437,0.12992699501833274,0.22701536898753397,0.036958262963334064,0.014767270582752314,0.00030492276253347024
Romania,0.31679908392189593,0.3683040918413733,0.00017354424293014104,0.27637356716075445,0.028782006746185966,0.0024196382816270346,0.00218042845382596,0.0018726505927677585,0.0027929380508796646,0.0003020507077597565
Slovenia,0.3294007258139164,0.059327406201075475,0.07398286877234661,0.08431226771348205,0.17891018791536673,9.752765758216548e-08,0.2293403656541504,0.03583685866071508,0.008766702140978225,0.0001225196003115787
Slovacia,0.3377206806825609,0.10778739496493125,0.00886139420742839,0.33886114884848023,0.06845989308138084,0.024263870764073405,0.1094946498626994,0.001196445957016269,0.0031179129850832338,0.00023660864634608876
Spania,0.5894906191532718,4.978900250572716e-05,0.21708559626556476,0.006726739732361297,0.08187698143988921,0.04115850641593856,0.0425422514852189,0.0028873271921518286,0.017852513546787487,0.0003296757663104114
Suedia,0.04773732131416309,0.6558553119194612,0.0063837758003568055,0.07294106057988783,0.184786564670003,0.011874742282164431,0.00100858188380607,0.01459098643682705,0.004344238702021941,0.00047741641130836826
